# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 509K of event 'cycles'
# Event count (approx.): 7640386455938
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.67%     0.00%  java             [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.65%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_async_ra
     0.64%     0.64%  pool-4-thread-1  [kernel.kallsyms]     [k] clear_page_erms
     0.64%     0.25%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     0.63%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.63%     0.62%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     0.62%     0.03%  kworker/u96:0-e  [kernel.kallsyms]     [k] end_page_writeback
     0.62%     0.01%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] kthread
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] ret_from_fork
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] worker_thread
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] process_one_work
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] wb_workfn
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] wb_writeback
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.61%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.61%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_get_pages
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] __writeback_single_inode
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] do_writepages
     0.60%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] exc_page_fault
     0.60%     0.04%  kworker/u98:2-e  [kernel.kallsyms]     [k] ext4_writepages
     0.60%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] lru_cache_add
     0.59%     0.03%  java             [kernel.kallsyms]     [k] do_sched_yield
     0.59%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ondemand_readahead
     0.59%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_ra_unbounded
     0.58%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] do_user_addr_fault
     0.58%     0.36%  LocalJobRunner   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.58%     0.43%  kswapd1          [kernel.kallsyms]     [k] isolate_pages
     0.57%     0.06%  InMemoryMerger   [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.57%     0.01%  java             [kernel.kallsyms]     [k] schedule
     0.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_async_ra
     0.56%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_end
     0.56%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] handle_mm_fault
     0.55%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.55%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] generic_write_end
     0.54%     0.00%  java             [kernel.kallsyms]     [k] arch_do_signal_or_restart
     0.54%     0.00%  java             [kernel.kallsyms]     [k] get_signal
     0.54%     0.00%  java             [kernel.kallsyms]     [k] do_exit
     0.54%     0.00%  java             [kernel.kallsyms]     [k] do_group_exit
     0.54%     0.10%  localfetcher#1   [kernel.kallsyms]     [k] __pagevec_lru_add
     0.54%     0.00%  java             [kernel.kallsyms]     [k] exit_mmap
     0.54%     0.00%  java             [kernel.kallsyms]     [k] mmput
     0.54%     0.02%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
     0.54%     0.00%  java             [kernel.kallsyms]     [k] unmap_single_vma
     0.54%     0.00%  java             [kernel.kallsyms]     [k] unmap_vmas
     0.54%     0.09%  java             [kernel.kallsyms]     [k] unmap_page_range
     0.53%     0.12%  java             [kernel.kallsyms]     [k] __schedule
     0.53%     0.44%  kswapd0          [kernel.kallsyms]     [k] isolate_pages
     0.53%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     0.53%     0.52%  InMemoryMerger   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.53%     0.09%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_get_block_prep
     0.52%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     0.50%     0.06%  InMemoryMerger   [kernel.kallsyms]     [k] __handle_mm_fault
     0.49%     0.07%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     0.48%     0.05%  kswapd1          [kernel.kallsyms]     [k] __remove_mapping
     0.46%     0.01%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.45%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] lru_cache_add
     0.45%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_futex
     0.45%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __do_munmap
     0.45%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __vm_munmap
     0.45%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_munmap
     0.45%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] unmap_region
     0.44%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] do_futex
     0.44%     0.09%  pool-4-thread-1  [kernel.kallsyms]     [k] __pagevec_lru_add
     0.44%     0.12%  kworker/u96:0-e  [kernel.kallsyms]     [k] test_clear_page_writeback
     0.43%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.43%     0.00%  java             [kernel.kallsyms]     [k] irqentry_exit
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kcompactd
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kthread
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] ret_from_fork
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] proactive_compact_node
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]     [k] compact_zone
     0.42%     0.01%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.42%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.42%     0.15%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_mark_iloc_dirty
     0.41%     0.28%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.41%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.40%     0.06%  pool-4-thread-1  [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.40%     0.28%  InMemoryMerger   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.40%     0.01%  kcompactd1       [kernel.kallsyms]     [k] migrate_pages
     0.40%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] __alloc_pages
     0.39%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] jbd2__journal_start
     0.39%     0.00%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.39%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.38%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_timer
     0.38%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_sync_ra
     0.37%     0.37%  pool-4-thread-1  [kernel.kallsyms]     [k] __get_user_nocheck_1
