# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 108795812652
#
# Children      Self  Command          Shared Object        Symbol                                                                                                            
# ........  ........  ...............  ...................  ..................................................................................................................
#
     1.03%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.03%     0.30%  mariadbd         [kernel.kallsyms]    [k] __find_get_block_slow
     1.02%     0.02%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.01%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.01%     0.01%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.00%     0.10%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.00%     0.03%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.00%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.00%     0.07%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.97%     0.18%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     0.94%     0.06%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     0.94%     0.00%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     0.94%     0.05%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.93%     0.00%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     0.93%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.93%     0.43%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.93%     0.03%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     0.92%     0.00%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.90%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     0.90%     0.01%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     0.90%     0.05%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.89%     0.08%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     0.89%     0.29%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.89%     0.89%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     0.89%     0.26%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.89%     0.02%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.89%     0.02%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     0.89%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     0.88%     0.15%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.88%     0.00%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     0.88%     0.00%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     0.87%     0.32%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     0.87%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.85%     0.15%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     0.85%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.85%     0.03%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.82%     0.04%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.82%     0.07%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.82%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
