# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles'
# Event count (approx.): 8638099341560
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.92%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages_vma
     0.91%     0.08%  localfetcher#1   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.89%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] workingset_refault
     0.88%     0.18%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     0.88%     0.08%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.87%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.87%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.87%     0.58%  localfetcher#1   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.84%     0.03%  InMemoryMerger   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.81%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.80%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.79%     0.75%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.77%     0.14%  localfetcher#1   [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.75%     0.75%  java             [kernel.kallsyms]  [k] up_read
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_read
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ksys_read
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] vfs_read
     0.73%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_read
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_file_read_iter
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] generic_file_read_iter
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] new_sync_read
     0.71%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
