# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 478879349612
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                           
# ........  ........  ...............  .......................  .................................................................................................................................
#
     0.51%     0.01%  swapper          [kernel.kallsyms]        [k] amd_pmu_disable_all
     0.50%     0.17%  swapper          [kernel.kallsyms]        [k] set_next_entity
     0.49%     0.02%  mariadbd         [kernel.kallsyms]        [k] default_send_IPI_mask_sequence_phys
     0.49%     0.45%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.48%     0.32%  mariadbd         [kernel.kallsyms]        [k] ktime_get
     0.48%     0.47%  mariadbd         [kernel.kallsyms]        [k] copy_user_generic_string
     0.48%     0.07%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function
     0.48%     0.21%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.48%     0.02%  mariadbd         [kernel.kallsyms]        [k] ext4_da_write_begin
     0.47%     0.04%  mariadbd         [kernel.kallsyms]        [k] nvme_map_data
     0.47%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] consume_skb
     0.46%     0.04%  mariadbd         [kernel.kallsyms]        [k] mapping_get_entry
     0.46%     0.46%  mariadbd         [kernel.kallsyms]        [k] __update_load_avg_se
     0.46%     0.10%  mariadbd         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.45%     0.08%  mariadbd         [kernel.kallsyms]        [k] wake_affine_weight
     0.45%     0.06%  swapper          [kernel.kallsyms]        [k] rebalance_domains
     0.44%     0.12%  mariadbd         [kernel.kallsyms]        [k] set_task_cpu
     0.44%     0.44%  mariadbd         [kernel.kallsyms]        [k] cpuacct_charge
     0.43%     0.43%  mariadbd         [kernel.kallsyms]        [k] __switch_to
     0.43%     0.01%  mariadbd         [kernel.kallsyms]        [k] __mark_inode_dirty
     0.42%     0.42%  mariadbd         libpthread-2.28.so       [.] __pthread_mutex_lock
     0.42%     0.08%  tclsh8.6         [kernel.kallsyms]        [k] _raw_spin_lock
     0.42%     0.03%  mariadbd         [kernel.kallsyms]        [k] __softirqentry_text_start
     0.42%     0.38%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock
     0.42%     0.42%  swapper          [kernel.kallsyms]        [k] read_tsc
     0.41%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function
     0.40%     0.07%  tclsh8.6         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.40%     0.06%  swapper          [kernel.kallsyms]        [k] load_balance
     0.39%     0.02%  swapper          [kernel.kallsyms]        [k] quiet_vmstat
     0.39%     0.04%  swapper          [kernel.kallsyms]        [k] update_blocked_averages
     0.39%     0.07%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_enter
     0.39%     0.06%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_wakeup
     0.38%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_futex
     0.38%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] do_futex
     0.38%     0.25%  mariadbd         [kernel.kallsyms]        [k] update_rq_clock_task
     0.38%     0.02%  mariadbd         [kernel.kallsyms]        [k] update_blocked_averages
     0.38%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_dirty_inode
     0.38%     0.13%  swapper          [kernel.kallsyms]        [k] need_update
     0.37%     0.02%  swapper          [kernel.kallsyms]        [k] sched_clock_cpu
     0.37%     0.37%  mariadbd         [kernel.kallsyms]        [k] update_cfs_rq_h_load
     0.37%     0.01%  mariadbd         [kernel.kallsyms]        [k] lockless_pages_from_mm
