# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2119709606288
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
     0.89%     0.01%  GC Thread#7      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.89%     0.02%  GC Thread#1      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.88%     0.02%  GC Thread#20     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.88%     0.00%  swapper          [kernel.kallsyms]                   [k] sysvec_call_function_single
     0.88%     0.77%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.88%     0.02%  GC Thread#10     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.88%     0.01%  GC Thread#11     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.88%     0.02%  GC Thread#2      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.87%     0.01%  GC Thread#5      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.87%     0.02%  GC Thread#7      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.87%     0.02%  GC Thread#18     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.87%     0.01%  GC Thread#19     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.87%     0.02%  GC Thread#6      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.87%     0.02%  GC Thread#3      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.86%     0.02%  GC Thread#11     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.86%     0.01%  GC Thread#16     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.86%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] __run_hrtimer
     0.86%     0.02%  GC Thread#5      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.86%     0.00%  GC Thread#10     [kernel.kallsyms]                   [k] __run_hrtimer
     0.86%     0.02%  GC Thread#19     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.85%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] __run_hrtimer
     0.85%     0.02%  GC Thread#8      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.85%     0.01%  GC Thread#12     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.85%     0.02%  GC Thread#16     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.85%     0.01%  GC Thread#21     [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.85%     0.00%  GC Thread#3      [kernel.kallsyms]                   [k] __run_hrtimer
     0.84%     0.00%  GC Thread#6      [kernel.kallsyms]                   [k] __run_hrtimer
     0.84%     0.84%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
     0.84%     0.02%  GC Thread#17     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.84%     0.01%  GC Thread#4      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.84%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_mprotect
     0.84%     0.01%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.84%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_mprotect_pkey
     0.84%     0.02%  GC Thread#13     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.84%     0.02%  GC Thread#12     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.84%     0.00%  GC Thread#8      [kernel.kallsyms]                   [k] __run_hrtimer
     0.83%     0.02%  GC Thread#21     [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.83%     0.02%  GC Thread#4      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.83%     0.00%  swapper          [kernel.kallsyms]                   [k] __irq_exit_rcu
     0.83%     0.02%  GC Thread#9      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.83%     0.00%  GC Thread#10     [kernel.kallsyms]                   [k] tick_sched_timer
     0.83%     0.00%  GC Thread#20     [kernel.kallsyms]                   [k] tick_sched_timer
     0.82%     0.00%  GC Thread#17     [kernel.kallsyms]                   [k] __run_hrtimer
     0.82%     0.00%  GC Thread#13     [kernel.kallsyms]                   [k] __run_hrtimer
     0.82%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] tick_sched_timer
     0.82%     0.02%  GC Thread#14     [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.82%     0.02%  Executor task l  [kernel.kallsyms]                   [k] lookup_fast
