# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3285379816649
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ................................................  ...............................................................................................................................................................................................................
#
     0.48%     0.07%  kswapd0          [kernel.kallsyms]                                 [k] page_cache_delete
     0.48%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] nvme_map_data
     0.47%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] create_empty_buffers
     0.47%     0.05%  kswapd0          [kernel.kallsyms]                                 [k] free_unref_page_list
     0.47%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] generic_update_time
     0.47%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] exit_to_user_mode_prepare
     0.46%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] zero_user_segments
     0.46%     0.34%  Executor task l  [kernel.kallsyms]                                 [k] _raw_spin_lock
     0.45%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode
     0.45%     0.11%  Executor task l  [kernel.kallsyms]                                 [k] clockevents_program_event
     0.45%     0.45%  Executor task l  [kernel.kallsyms]                                 [k] check_cpu_stall
     0.44%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] alloc_page_buffers
     0.44%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] blk_update_request
     0.43%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_reserve_inode_write
     0.43%     0.37%  Executor task l  [kernel.kallsyms]                                 [k] mem_cgroup_charge_statistics.constprop.0
     0.42%     0.31%  Executor task l  [kernel.kallsyms]                                 [k] __mod_memcg_lruvec_state
     0.42%     0.42%  Executor task l  [kernel.kallsyms]                                 [k] cpuacct_charge
     0.41%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] rcu_core
     0.41%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] try_to_free_pages
     0.41%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] do_try_to_free_pages
     0.41%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_node
     0.41%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_node_memcgs
     0.41%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_zones
     0.41%     0.41%  Executor task l  [kernel.kallsyms]                                 [k] __irqentry_text_end
     0.41%     0.10%  kswapd0          [kernel.kallsyms]                                 [k] isolate_lru_pages
     0.41%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_lruvec
     0.41%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] alloc_buffer_head
     0.40%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_inactive_list
     0.39%     0.11%  Executor task l  [kernel.kallsyms]                                 [k] xa_get_order
     0.39%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_check_old_data_flush
     0.38%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_do_timer
     0.38%     0.38%  Executor task l  [kernel.kallsyms]                                 [k] update_irq_load_avg
     0.38%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_page_list
     0.37%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] mpage_map_and_submit_extent
     0.37%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] ext4_map_blocks
     0.37%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] ext4_do_flush_completed_IO.isra.0
     0.37%     0.04%  kswapd0          [kernel.kallsyms]                                 [k] free_pcppages_bulk
     0.36%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_da_get_block_prep
     0.36%     0.00%  kworker/u64:36-  [kernel.kallsyms]                                 [k] ext4_release_io_end
     0.36%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] timerqueue_del
     0.36%     0.13%  kworker/u64:36-  [kernel.kallsyms]                                 [k] ext4_finish_bio
     0.36%     0.36%  kswapd0          [kernel.kallsyms]                                 [k] __list_del_entry_valid
     0.36%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __block_commit_write.constprop.0.isra.0
     0.35%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __remove_mapping
     0.35%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] irqentry_exit_to_user_mode
     0.35%     0.04%  kswapd0          [kernel.kallsyms]                                 [k] xas_store
     0.35%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] ext4_da_map_blocks.constprop.0
     0.34%     0.34%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_addr_offset
     0.34%     0.01%  kworker/u64:37-  [kernel.kallsyms]                                 [k] mpage_prepare_extent_to_map
     0.33%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] mpage_map_and_submit_buffers
     0.33%     0.00%  kworker/u64:38-  [kernel.kallsyms]                                 [k] kthread
     0.33%     0.00%  kworker/u64:38-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.33%     0.00%  kworker/u64:38-  [kernel.kallsyms]                                 [k] worker_thread
