# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 13352864578870
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     2.01%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     2.01%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     2.01%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.94%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     1.89%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     1.88%     0.04%  java             [kernel.kallsyms]  [k] __alloc_pages
     1.83%     0.19%  LocalJobRunner   [kernel.kallsyms]  [k] __mem_cgroup_charge
     1.83%     0.02%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     1.74%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.73%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] pagecache_get_page
     1.71%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_begin
     1.69%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] workingset_refault
     1.66%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.66%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.63%     0.10%  localfetcher#1   [kernel.kallsyms]  [k] __handle_mm_fault
     1.62%     1.61%  localfetcher#1   [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.60%     1.59%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.43%     0.01%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     1.42%     0.33%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
     1.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
     1.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
     1.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
     1.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     1.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
     1.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     1.41%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.41%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] pagecache_get_page
     1.31%     0.47%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.26%     0.15%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.23%     0.01%  java             [kernel.kallsyms]  [k] move_to_new_page
     1.23%     0.00%  java             [kernel.kallsyms]  [k] migrate_page
     1.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.17%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.16%     0.00%  java             [kernel.kallsyms]  [k] rmap_walk
     1.15%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     1.13%     0.03%  localfetcher#1   [kernel.kallsyms]  [k] __alloc_pages
     1.07%     0.10%  LocalJobRunner   [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.05%     0.08%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     1.04%     0.02%  java             [kernel.kallsyms]  [k] find_vma
     1.02%     1.02%  java             [kernel.kallsyms]  [k] vmacache_find
     1.02%     0.13%  localfetcher#1   [kernel.kallsyms]  [k] get_page_from_freelist
     1.01%     1.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.00%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     0.99%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     0.99%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     0.99%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     0.99%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     0.99%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     0.98%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     0.98%     0.08%  InMemoryMerger   [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.94%     0.93%  java             [kernel.kallsyms]  [k] sync_regs
     0.93%     0.09%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     0.92%     0.91%  java             [kernel.kallsyms]  [k] clear_page_erms
     0.91%     0.91%  swapper          [unknown]          [.] 0000000000000000
     0.89%     0.89%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
     0.88%     0.00%  VM Thread        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.88%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_syscall_64
     0.85%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.85%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     0.83%     0.82%  LocalJobRunner   [kernel.kallsyms]  [k] sync_regs
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] __x64_sys_mmap
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] ksys_mmap_pgoff
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] vm_mmap_pgoff
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_mmap
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] mmap_region
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] __do_munmap
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_region
     0.83%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_da_write_end
     0.83%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_single_vma
     0.83%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_vmas
     0.82%     0.15%  VM Thread        [kernel.kallsyms]  [k] unmap_page_range
     0.82%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     0.82%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     0.82%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     0.82%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] alloc_pages
     0.82%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     0.82%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     0.82%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     0.82%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     0.81%     0.38%  java             [kernel.kallsyms]  [k] __count_memcg_events
     0.81%     0.05%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.81%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] generic_write_end
     0.80%     0.57%  InMemoryMerger   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.80%     0.29%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.79%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     0.78%     0.54%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.78%     0.52%  LocalJobRunner   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.77%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.77%     0.76%  java             [kernel.kallsyms]  [k] copy_page
     0.75%     0.50%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.74%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.73%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_misplaced_page
     0.72%     0.71%  localfetcher#1   [kernel.kallsyms]  [k] clear_page_erms
     0.71%     0.00%  java             [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     0.71%     0.01%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.71%     0.54%  Sampler Reader   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.71%     0.05%  localfetcher#1   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.70%     0.00%  java             [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.70%     0.01%  java             [kernel.kallsyms]  [k] do_syscall_64
     0.69%     0.00%  java             [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.68%     0.00%  java             [kernel.kallsyms]  [k] try_to_migrate
     0.66%     0.38%  localfetcher#1   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.65%     0.06%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.65%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.65%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     0.64%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_pages
     0.62%     0.06%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add
     0.60%     0.50%  LocalJobRunner   [kernel.kallsyms]  [k] try_charge_memcg
     0.60%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] process_one_work
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.58%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.58%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages_vma
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.58%     0.09%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.57%     0.08%  java             [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.57%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
     0.57%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     0.56%     0.00%  java             [kernel.kallsyms]  [k] try_to_free_pages
     0.56%     0.00%  java             [kernel.kallsyms]  [k] do_try_to_free_pages
     0.56%     0.00%  java             [kernel.kallsyms]  [k] shrink_node
     0.55%     0.00%  java             [kernel.kallsyms]  [k] shrink_lruvec
     0.54%     0.13%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     0.54%     0.00%  VM Thread        [kernel.kallsyms]  [k] tlb_flush_mmu
     0.54%     0.23%  LocalJobRunner   [kernel.kallsyms]  [k] __pagevec_lru_add
     0.53%     0.17%  localfetcher#1   [kernel.kallsyms]  [k] charge_memcg
     0.53%     0.00%  java             [kernel.kallsyms]  [k] shrink_page_list
     0.50%     0.01%  java             [kernel.kallsyms]  [k] __remove_mapping
     0.50%     0.01%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     0.49%     0.00%  VM Thread        [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.49%     0.03%  java             [kernel.kallsyms]  [k] isolate_lru_page
     0.49%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.48%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.48%     0.09%  VM Thread        [kernel.kallsyms]  [k] release_pages
     0.48%     0.02%  java             [kernel.kallsyms]  [k] do_sched_yield
     0.47%     0.00%  java             [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.46%     0.00%  java             [kernel.kallsyms]  [k] __put_page
     0.46%     0.45%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] kthread
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] ret_from_fork
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] worker_thread
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] process_one_work
     0.45%     0.45%  InMemoryMerger   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] wb_workfn
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] wb_writeback
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.45%     0.00%  kworker/u98:1-w  [kernel.kallsyms]  [k] writeback_sb_inodes
