# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 246K of event 'cycles'
# Event count (approx.): 6610041225293
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.94%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] __handle_mm_fault
     0.88%     0.02%  java             [kernel.kallsyms]   [k] __alloc_pages
     0.84%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] __alloc_pages
     0.83%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] __alloc_pages
     0.83%     0.08%  kswapd1          [kernel.kallsyms]   [k] shrink_page_list
     0.83%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] alloc_pages
     0.81%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.79%     0.09%  localfetcher#1   [kernel.kallsyms]   [k] get_page_from_freelist
     0.78%     0.09%  InMemoryMerger   [kernel.kallsyms]   [k] get_page_from_freelist
     0.74%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_block_write_begin
     0.74%     0.01%  kworker/u98:0-w  [kernel.kallsyms]   [k] mpage_submit_page
     0.74%     0.01%  java             [kernel.kallsyms]   [k] alloc_pages_vma
     0.72%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] exc_page_fault
     0.69%     0.04%  kworker/u96:1-e  [kernel.kallsyms]   [k] end_page_writeback
     0.69%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_exc_page_fault
     0.69%     0.13%  java             [kernel.kallsyms]   [k] get_page_from_freelist
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_write
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_write
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_write
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_write
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_write_iter
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     0.67%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_perform_write
     0.67%     0.66%  pool-4-thread-1  [kernel.kallsyms]   [k] clear_page_erms
     0.66%     0.00%  java             [kernel.kallsyms]   [k] find_vma
     0.66%     0.66%  java             [kernel.kallsyms]   [k] vmacache_find
     0.66%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] do_user_addr_fault
     0.61%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] handle_mm_fault
     0.61%     0.02%  java             [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.60%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] __ext4_mark_inode_dirty
     0.60%     0.00%  java             [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.60%     0.00%  java             [kernel.kallsyms]   [k] do_syscall_64
     0.60%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kthread
     0.60%     0.00%  kcompactd0       [kernel.kallsyms]   [k] ret_from_fork
     0.60%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kcompactd
     0.60%     0.00%  kcompactd0       [kernel.kallsyms]   [k] compact_zone
     0.60%     0.00%  kcompactd0       [kernel.kallsyms]   [k] proactive_compact_node
     0.59%     0.10%  kworker/u98:0-w  [kernel.kallsyms]   [k] ext4_bio_write_page
     0.59%     0.19%  kworker/u96:1-e  [kernel.kallsyms]   [k] test_clear_page_writeback
     0.59%     0.58%  localfetcher#1   [kernel.kallsyms]   [k] clear_page_erms
     0.57%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] exc_page_fault
     0.57%     0.01%  kcompactd0       [kernel.kallsyms]   [k] migrate_pages
     0.54%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_block_write_begin
     0.54%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] add_to_page_cache_lru
     0.53%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] do_user_addr_fault
     0.51%     0.51%  InMemoryMerger   [kernel.kallsyms]   [k] clear_page_erms
     0.50%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __page_cache_alloc
     0.49%     0.07%  kswapd0          [kernel.kallsyms]   [k] __remove_mapping
     0.48%     0.00%  java             [kernel.kallsyms]   [k] syscall_exit_to_user_mode
     0.48%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] handle_mm_fault
     0.48%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] __ext4_journal_start_sb
     0.48%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] __ext4_mark_inode_dirty
     0.47%     0.00%  java             [kernel.kallsyms]   [k] arch_do_signal_or_restart
     0.47%     0.00%  java             [kernel.kallsyms]   [k] get_signal
     0.47%     0.00%  java             [kernel.kallsyms]   [k] do_exit
     0.47%     0.00%  java             [kernel.kallsyms]   [k] do_group_exit
     0.47%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages
     0.47%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __page_cache_alloc
     0.47%     0.00%  java             [kernel.kallsyms]   [k] exit_mmap
     0.47%     0.00%  java             [kernel.kallsyms]   [k] mmput
     0.47%     0.00%  java             [kernel.kallsyms]   [k] unmap_single_vma
     0.47%     0.00%  java             [kernel.kallsyms]   [k] unmap_vmas
     0.47%     0.11%  java             [kernel.kallsyms]   [k] unmap_page_range
     0.47%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] __ext4_journal_start_sb
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_read
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ksys_read
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] vfs_read
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_file_read_iter
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] new_sync_read
     0.46%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_read
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] generic_file_read_iter
     0.46%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.46%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] worker_thread
     0.46%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] kthread
     0.46%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] ret_from_fork
     0.46%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] process_one_work
     0.45%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] wb_workfn
     0.45%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.45%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] __writeback_single_inode
     0.45%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] do_writepages
     0.45%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] wb_writeback
     0.45%     0.00%  kworker/u97:12-  [kernel.kallsyms]   [k] writeback_sb_inodes
     0.45%     0.02%  kworker/u97:12-  [kernel.kallsyms]   [k] ext4_writepages
     0.45%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.45%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.45%     0.16%  InMemoryMerger   [kernel.kallsyms]   [k] __handle_mm_fault
     0.44%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] jbd2__journal_start
