# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9935501061521
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     1.21%     1.20%  java             [kernel.kallsyms]     [k] clear_page_erms
     1.20%     0.00%  java             [kernel.kallsyms]     [k] shrink_lruvec
     1.20%     0.00%  java             [kernel.kallsyms]     [k] evict_pages
     1.19%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     1.19%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     1.19%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     1.19%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     1.19%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     1.18%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_pages
     1.18%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.18%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_syscall_64
     1.14%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     1.14%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __x64_sys_read
     1.14%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ksys_read
     1.14%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] vfs_read
     1.14%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] new_sync_read
     1.14%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ext4_file_read_iter
     1.14%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] generic_file_read_iter
     1.14%     0.02%  Sampler Reader   [kernel.kallsyms]     [k] filemap_read
     1.10%     0.02%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.10%     0.01%  java             [kernel.kallsyms]     [k] shrink_page_list
     1.09%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     1.08%     0.00%  kswapd0          [kernel.kallsyms]     [k] evict_pages
     1.08%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.07%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
