# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4274814276032
#
# Children      Self  Command          Shared Object                      Symbol                                                                                                                                                                                                         
# ........  ........  ...............  .................................  ...............................................................................................................................................................................................................
#
     1.99%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] handle_mm_fault
     1.99%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] __alloc_pages
     1.99%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] alloc_pages_vma
     1.99%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] __alloc_pages
     1.99%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] alloc_pages_vma
     1.99%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] __handle_mm_fault
     1.98%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] do_anonymous_page
     1.96%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.95%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.95%     0.95%  Executor task l  [kernel.kallsyms]                  [k] update_load_avg
     1.95%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] alloc_pages_vma
     1.95%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] __alloc_pages
     1.95%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.94%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.94%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.94%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.93%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.90%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.90%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.90%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] shrink_node
     1.90%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] shrink_zones
     1.90%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] try_to_free_pages
     1.90%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.90%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.90%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] shrink_node
     1.90%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] shrink_zones
     1.90%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] try_to_free_pages
     1.90%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.90%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.90%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] shrink_node
     1.90%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] shrink_zones
     1.90%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] try_to_free_pages
     1.89%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] try_to_free_pages
     1.89%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.89%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.89%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] shrink_node
     1.89%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] shrink_zones
     1.89%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] try_to_free_pages
     1.89%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] shrink_lruvec
     1.89%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] shrink_lruvec
     1.89%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.89%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.89%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] shrink_node
     1.89%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] shrink_zones
     1.89%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] try_to_free_pages
     1.89%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] shrink_lruvec
     1.89%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] shrink_inactive_list
     1.89%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.89%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] shrink_node
