# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11366040176827
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.48%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_pages
     0.47%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] worker_thread
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] kthread
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] ret_from_fork
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] process_one_work
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] wb_workfn
     0.47%     0.01%  java             [kernel.kallsyms]     [k] irqentry_exit
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] wb_writeback
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] __writeback_single_inode
     0.47%     0.00%  kworker/u98:2-e  [kernel.kallsyms]     [k] do_writepages
     0.47%     0.03%  kworker/u98:2-e  [kernel.kallsyms]     [k] ext4_writepages
     0.46%     0.01%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.45%     0.22%  java             [kernel.kallsyms]     [k] numa_migrate_prep
     0.44%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.44%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.44%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] exc_page_fault
     0.43%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.42%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] lru_cache_add
     0.41%     0.00%  java             [kernel.kallsyms]     [k] lru_cache_add_inactive_or_unevictable
     0.41%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_user_addr_fault
     0.41%     0.01%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_read
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_read
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_read_iter
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_file_read_iter
