# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 98K of event 'cycles'
# Event count (approx.): 3453612818999
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.60%     0.03%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.59%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.59%     0.00%  java             [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.58%     0.13%  java             [kernel.kallsyms]  [k] release_pages
     0.56%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.55%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] charge_memcg
     0.54%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.53%     0.05%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     0.50%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] lru_cache_add
     0.49%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] mpage_submit_page
     0.49%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_buffer_dirty
     0.46%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics.constprop.0
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] kthread
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ret_from_fork
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] worker_thread
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] process_one_work
     0.44%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.44%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.44%     0.06%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.43%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.43%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_swap_page
     0.41%     0.40%  java             [kernel.kallsyms]  [k] down_read_trylock
     0.41%     0.09%  pool-4-thread-1  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.40%     0.19%  pool-4-thread-1  [kernel.kallsyms]  [k] __count_memcg_events
     0.40%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     0.40%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     0.40%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     0.40%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     0.40%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     0.40%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2__journal_start
     0.39%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.38%     0.07%  pool-4-thread-1  [kernel.kallsyms]  [k] create_empty_buffers
     0.38%     0.01%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     0.37%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] swapin_readahead
     0.37%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] migrate_misplaced_page
     0.37%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] __set_page_dirty
     0.37%     0.37%  pool-4-thread-1  [kernel.kallsyms]  [k] __get_user_nocheck_1
     0.36%     0.09%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.35%     0.07%  kworker/u98:2-f  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.35%     0.33%  pool-4-thread-1  [kernel.kallsyms]  [k] _find_next_bit
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_unlink
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_unlinkat
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] evict
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_evict_inode
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] iput.part.0
     0.35%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_final
     0.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] truncate_inode_pages_range
     0.34%     0.33%  pool-4-thread-1  [kernel.kallsyms]  [k] mark_page_accessed
     0.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __read_swap_cache_async
     0.33%     0.03%  kworker/u96:1-e  [kernel.kallsyms]  [k] end_page_writeback
     0.33%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] migrate_pages
     0.32%     0.03%  java             [kernel.kallsyms]  [k] free_unref_page_list
     0.31%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.31%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_page_buffers
