# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 858K of event 'cycles'
# Event count (approx.): 1573542348784
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                      
# ........  ........  ...............  ...................................  ............................................................................................................................................................
#
     0.72%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.72%     0.01%  GC Thread#15     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.72%     0.02%  GC Thread#4      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.72%     0.00%  G1 Refine#3      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.71%     0.01%  GC Thread#15     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.71%     0.01%  GC Thread#21     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.71%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] tick_sched_timer
     0.70%     0.02%  GC Thread#21     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.70%     0.54%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     0.70%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.01%  GC Thread#0      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#0        [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.68%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.68%     0.01%  GC Thread#5      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#4        [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#1        [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  GC Thread#3      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#2        [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#5        [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#0        [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.68%     0.02%  GC Thread#0      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.67%     0.01%  GC Thread#17     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
