# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 381K of event 'cycles'
# Event count (approx.): 6199165226026
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.80%     0.14%  localfetcher#1   [kernel.kallsyms]         [k] __pagevec_lru_add
     0.80%     0.79%  java             [kernel.kallsyms]         [k] vmacache_find
     0.79%     0.79%  pool-4-thread-1  [kernel.kallsyms]         [k] clear_page_erms
     0.78%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] page_cache_sync_ra
     0.77%     0.11%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_da_get_block_prep
     0.72%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_begin
     0.71%     0.70%  java             [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.71%     0.08%  java             [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     0.70%     0.70%  swapper          [unknown]                 [.] 0000000000000000
     0.69%     0.00%  java             [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.69%     0.32%  java             [kernel.kallsyms]         [k] flush_smp_call_function_queue
     0.68%     0.67%  localfetcher#1   [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.65%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     0.65%     0.36%  java             [kernel.kallsyms]         [k] _raw_spin_lock
     0.64%     0.04%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     0.63%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     0.62%     0.59%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.62%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] pagecache_get_page
     0.62%     0.00%  java             [kernel.kallsyms]         [k] try_to_free_pages
     0.62%     0.00%  java             [kernel.kallsyms]         [k] shrink_node
     0.62%     0.00%  java             [kernel.kallsyms]         [k] do_try_to_free_pages
     0.61%     0.00%  java             [kernel.kallsyms]         [k] shrink_lruvec
     0.60%     0.00%  java             [kernel.kallsyms]         [k] evict_pages
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] worker_thread
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] kthread
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ret_from_fork
     0.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_munmap
     0.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __do_munmap
