# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3658951943881
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
     1.11%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.08%     0.01%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.08%     0.19%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.03%     0.13%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.00%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.97%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     0.97%     0.10%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                   [k] try_to_free_pages
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_try_to_free_pages
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_zones
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node_memcgs
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                   [k] lru_gen_shrink_lruvec
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                   [k] evict_pages
     0.92%     0.44%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.91%     0.01%  Executor task l  [kernel.kallsyms]                   [k] shrink_page_list
     0.88%     0.00%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     0.87%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __remove_mapping
     0.86%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] rmap_walk_anon
     0.85%     0.77%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.84%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate
     0.83%     0.37%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.83%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate_one
     0.80%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ptep_clear_flush
     0.80%     0.03%  kcompactd0       [kernel.kallsyms]                   [k] flush_tlb_mm_range
     0.80%     0.17%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add_fn
     0.79%     0.04%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.78%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_finish_plug
     0.77%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     0.77%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     0.77%     0.00%  swapper          [kernel.kallsyms]                   [k] do_idle
     0.76%     0.02%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.76%     0.03%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     0.76%     0.35%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.74%     0.08%  Executor task l  [kernel.kallsyms]                   [k] __mem_cgroup_charge
     0.74%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.74%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_mark_iloc_dirty
     0.73%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     0.73%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     0.72%     0.03%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.72%     0.39%  kcompactd0       [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.72%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.71%     0.61%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.68%     0.03%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.68%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.68%     0.10%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.67%     0.23%  Executor task l  [kernel.kallsyms]                   [k] ext4_do_update_inode.isra.0
     0.66%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __submit_bio_noacct_mq
     0.65%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] worker_thread
     0.65%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] kthread
     0.65%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ret_from_fork
     0.65%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] process_one_work
     0.65%     0.17%  Executor task l  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.65%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.64%     0.08%  Executor task l  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.63%     0.05%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_submit_bio
     0.63%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
