# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 5822082299052
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
     0.94%     0.01%  tclsh8.6         [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.93%     0.01%  postgres         [kernel.kallsyms]      [k] enqueue_task
     0.92%     0.01%  tclsh8.6         [kernel.kallsyms]      [k] do_syscall_64
     0.92%     0.00%  postgres         [kernel.kallsyms]      [k] __softirqentry_text_start
     0.92%     0.00%  kcompactd0       [kernel.kallsyms]      [k] proactive_compact_node
     0.90%     0.08%  postgres         [kernel.kallsyms]      [k] pagecache_get_page
     0.90%     0.03%  postgres         [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.90%     0.11%  kcompactd1       [kernel.kallsyms]      [k] try_to_migrate_one
     0.87%     0.00%  postgres         [kernel.kallsyms]      [k] ksys_read
     0.87%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_read
     0.86%     0.07%  postgres         [kernel.kallsyms]      [k] workingset_activation
     0.85%     0.03%  kswapd1          [kernel.kallsyms]      [k] shrink_slab
     0.82%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_da_write_begin
     0.80%     0.03%  kswapd1          [kernel.kallsyms]      [k] do_shrink_slab
     0.78%     0.78%  postgres         [kernel.kallsyms]      [k] workingset_age_nonresident
     0.78%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_newfstatat
     0.78%     0.00%  postgres         [kernel.kallsyms]      [k] __do_sys_newfstatat
     0.74%     0.00%  postgres         [kernel.kallsyms]      [k] read_pages
     0.73%     0.02%  postgres         [kernel.kallsyms]      [k] dequeue_task
     0.72%     0.01%  postgres         [kernel.kallsyms]      [k] irq_exit_rcu
     0.71%     0.00%  postgres         [kernel.kallsyms]      [k] vfs_statx
     0.71%     0.06%  postgres         [kernel.kallsyms]      [k] dequeue_task_fair
     0.68%     0.56%  postgres         [kernel.kallsyms]      [k] update_blocked_averages
     0.67%     0.00%  postgres         [kernel.kallsyms]      [k] run_rebalance_domains
     0.67%     0.02%  postgres         [kernel.kallsyms]      [k] __entry_text_start
