# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 91987450879
#
# Children      Self  Command          Shared Object        Symbol                                                                                                   
# ........  ........  ...............  ...................  .........................................................................................................
#
     0.83%     0.08%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.82%     0.15%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.81%     0.00%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.81%     0.46%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.81%     0.00%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     0.79%     0.79%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.78%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.78%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.77%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wake
     0.76%     0.57%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.76%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.75%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.75%     0.65%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.75%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.75%     0.00%  mariadbd         [kernel.kallsyms]    [k] free_swap_cache
     0.74%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait_setup
     0.73%     0.50%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.73%     0.39%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.72%     0.00%  mariadbd         [kernel.kallsyms]    [k] try_to_free_swap.part.0
     0.72%     0.09%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.72%     0.00%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.71%     0.00%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.70%     0.54%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.70%     0.04%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.70%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.68%     0.00%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     0.67%     0.11%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.67%     0.02%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.67%     0.02%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.66%     0.11%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
