# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 468  of event 'cycles'
# Event count (approx.): 901508276685
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] x86_pmu_enable
     0.05%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] ptep_clear_flush
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] try_to_migrate
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] try_to_migrate_one
     0.04%     0.00%  perf             [kernel.kallsyms]  [k] _perf_ioctl
     0.04%     0.00%  perf             [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.04%     0.00%  perf             [kernel.kallsyms]  [k] do_syscall_64
     0.04%     0.00%  perf             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.04%     0.00%  perf             [kernel.kallsyms]  [k] perf_ioctl
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] event_function_call
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] _perf_event_enable
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] perf_event_for_each_child
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] smp_call_function_single
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] vfs_getattr_nosec
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] generic_exec_single
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] __bitmap_and
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] page_not_mapped
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] pmd_pfn
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] remote_function
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] ctx_resched
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] __perf_event_enable
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] event_function
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] check_pte
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] memcg_check_events
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_copy
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_states
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] __isolate_free_page
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] uncharge_page
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] copy_page
     0.03%     0.03%  postgres         [kernel.kallsyms]  [k] workingset_age_nonresident
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_activation
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_lock_irqsave
     0.03%     0.03%  kcompactd0       [kernel.kallsyms]  [k] native_write_msr
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_send_call_func_single_ipi
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] send_call_function_single_ipi
     0.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] x2apic_send_IPI
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.03%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
