# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 166397942661
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                  
# ........  ........  ...............  ...................  ........................................................................................................................
#
     1.41%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     1.40%     0.13%  swapper          [kernel.kallsyms]    [k] blk_update_request
     1.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     1.40%     1.32%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     1.37%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.37%     1.12%  mariadbd         [kernel.kallsyms]    [k] xas_load
     1.36%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.35%     0.67%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.34%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.34%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.33%     0.01%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.32%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.32%     0.00%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.32%     0.00%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.28%     0.39%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.28%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.27%     0.24%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     1.26%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.22%     0.02%  mariadbd         [kernel.kallsyms]    [k] __getblk_gfp
     1.21%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     1.21%     0.01%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.21%     0.00%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.21%     0.08%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.20%     0.08%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.19%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.18%     0.03%  mariadbd         [kernel.kallsyms]    [k] __read_extent_tree_block
     1.17%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.16%     0.00%  mariadbd         [kernel.kallsyms]    [k] __find_get_block
