# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 261K of event 'cycles'
# Event count (approx.): 5041985941317
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.59%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.59%     0.05%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_call_function
     0.59%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.58%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.58%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.58%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.56%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.56%     0.53%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.55%     0.00%  kswapd1          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.53%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.52%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.52%     0.02%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.51%     0.01%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.50%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_call_function
     0.49%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_readahead
     0.49%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] generic_smp_call_function_single_interrupt
     0.48%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.48%     0.01%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.48%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.48%     0.03%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.47%     0.41%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.45%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.45%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_entity
     0.44%     0.01%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.44%     0.05%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.43%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.43%     0.00%  kswapd0          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.43%     0.03%  kswapd0          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.42%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.42%     0.07%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.41%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.41%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.41%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] wake_up_process
     0.41%     0.29%  swapper          [kernel.kallsyms]                   [k] switch_mm_irqs_off
     0.41%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.40%     0.01%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.40%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.40%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_read
     0.40%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ksys_read
     0.40%     0.02%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.40%     0.05%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_read
     0.39%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.39%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] new_sync_read
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_read_iter
     0.38%     0.03%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_recvmsg
     0.38%     0.00%  kswapd0          [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_recvmsg
     0.38%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg
     0.37%     0.16%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.37%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.37%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.37%     0.36%  swapper          [kernel.kallsyms]                   [k] psi_group_change
     0.36%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.36%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.36%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_recvmsg_locked
     0.36%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.36%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.35%     0.33%  kswapd1          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.35%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.34%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.34%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.33%     0.03%  swapper          [kernel.kallsyms]                   [k] tick_nohz_get_sleep_length
     0.33%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.32%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.31%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.31%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.31%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.31%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.31%     0.28%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.31%     0.12%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.31%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.30%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_push
     0.30%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.30%     0.08%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.30%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_complete_rq
     0.30%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.30%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.29%     0.13%  Native-Transpor  [kernel.kallsyms]                   [k] update_load_avg
     0.29%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.29%     0.10%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.29%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.29%     0.00%  swapper          [kernel.kallsyms]                   [k] blk_mq_end_request
     0.29%     0.04%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.29%     0.27%  kswapd1          [kernel.kallsyms]                   [k] isolate_lru_pages
     0.28%     0.14%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.28%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.27%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_cache_delete
     0.27%     0.26%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.27%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.27%     0.17%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.27%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.27%     0.02%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.27%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.27%     0.09%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.26%     0.02%  kswapd1          [kernel.kallsyms]                   [k] shrink_active_list
     0.26%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.26%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.26%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.26%     0.23%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
