# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12499422237346
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]     [k] migrate_pages
     0.47%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_block_write_begin
     0.47%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.47%     0.34%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.47%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] __pagevec_lru_add
     0.46%     0.00%  VM Thread        [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.46%     0.00%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.46%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_syscall_64
     0.46%     0.09%  java             [kernel.kallsyms]     [k] __schedule
     0.46%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.45%     0.01%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
     0.44%     0.36%  java             [kernel.kallsyms]     [k] __count_memcg_events
     0.43%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] __mark_inode_dirty
     0.43%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] kthread
     0.43%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] ret_from_fork
     0.43%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] worker_thread
     0.43%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] process_one_work
     0.42%     0.12%  java             [kernel.kallsyms]     [k] try_to_migrate_one
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] wb_workfn
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] wb_writeback
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] __writeback_single_inode
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]     [k] do_writepages
     0.42%     0.03%  kworker/u97:13-  [kernel.kallsyms]     [k] ext4_writepages
     0.42%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.42%     0.03%  kworker/u96:1-e  [kernel.kallsyms]     [k] end_page_writeback
     0.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_dirty_inode
     0.41%     0.01%  java             [kernel.kallsyms]     [k] irqentry_exit
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] __x64_sys_mmap
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] vm_mmap_pgoff
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] ksys_mmap_pgoff
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_mmap
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] mmap_region
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] __do_munmap
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_region
     0.40%     0.00%  java             [kernel.kallsyms]     [k] alloc_misplaced_dst_page
     0.40%     0.01%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_vmas
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_single_vma
     0.40%     0.06%  VM Thread        [kernel.kallsyms]     [k] unmap_page_range
     0.39%     0.32%  LocalJobRunner   [kernel.kallsyms]     [k] try_charge_memcg
     0.39%     0.15%  localfetcher#1   [kernel.kallsyms]     [k] charge_memcg
     0.38%     0.04%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.38%     0.19%  java             [kernel.kallsyms]     [k] numa_migrate_prep
     0.38%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_pages
     0.37%     0.01%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.37%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] exc_page_fault
     0.36%     0.09%  kworker/u96:1-e  [kernel.kallsyms]     [k] test_clear_page_writeback
     0.36%     0.34%  java             [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.36%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] alloc_pages
     0.36%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] move_to_new_page
     0.36%     0.01%  kworker/u98:3-e  [kernel.kallsyms]     [k] mpage_submit_page
     0.35%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] __alloc_pages
     0.35%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_page
     0.35%     0.01%  java             [kernel.kallsyms]     [k] migrate_page_copy
     0.35%     0.01%  VM Thread        [kernel.kallsyms]     [k] asm_exc_page_fault
     0.34%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_user_addr_fault
     0.34%     0.05%  java             [kernel.kallsyms]     [k] migrate_page_states
     0.34%     0.00%  java             [kernel.kallsyms]     [k] __put_page
     0.33%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add_inactive_or_unevictable
     0.32%     0.03%  kswapd1          [kernel.kallsyms]     [k] __remove_mapping
     0.32%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_timer
     0.32%     0.05%  InMemoryMerger   [kernel.kallsyms]     [k] get_page_from_freelist
     0.31%     0.16%  java             [kernel.kallsyms]     [k] charge_memcg
     0.30%     0.02%  java             [kernel.kallsyms]     [k] update_process_times
     0.30%     0.00%  VM Thread        [kernel.kallsyms]     [k] exc_page_fault
     0.29%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_handle
     0.29%     0.04%  java             [kernel.kallsyms]     [k] lru_cache_add
     0.29%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] handle_mm_fault
     0.29%     0.02%  java             [kernel.kallsyms]     [k] isolate_lru_page
     0.28%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_block_write_begin
     0.28%     0.25%  LocalJobRunner   [kernel.kallsyms]     [k] rmqueue_bulk
     0.28%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.28%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] lru_cache_add
     0.28%     0.01%  VM Thread        [kernel.kallsyms]     [k] do_user_addr_fault
     0.27%     0.01%  java             [kernel.kallsyms]     [k] mem_cgroup_migrate
     0.27%     0.02%  Sampler Reader   [kernel.kallsyms]     [k] __handle_mm_fault
     0.27%     0.05%  kworker/u98:3-e  [kernel.kallsyms]     [k] ext4_bio_write_page
