# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10769144996755
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     1.04%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_flush_plug_list
     1.04%     0.23%  mariadbd         [kernel.kallsyms]                                 [k] select_idle_cpu
     1.03%     0.27%  mariadbd         [kernel.kallsyms]                                 [k] enqueue_entity
     1.03%     0.53%  swapper          [kernel.kallsyms]                                 [k] update_load_avg
     1.03%     0.04%  swapper          [kernel.kallsyms]                                 [k] __irq_exit_rcu
     1.03%     0.01%  swapper          [kernel.kallsyms]                                 [k] tick_sched_timer
     1.02%     0.04%  tclsh8.6         [kernel.kallsyms]                                 [k] schedule_hrtimeout_range_clock
     1.02%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] io_schedule_timeout
     1.02%     0.10%  tclsh8.6         [kernel.kallsyms]                                 [k] __wake_up_common
     1.02%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] blk_update_request
     1.02%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_sched_insert_requests
     1.01%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] schedule_timeout
     0.99%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_try_issue_list_directly
     0.98%     0.05%  tclsh8.6         [kernel.kallsyms]                                 [k] schedule
     0.98%     0.98%  mariadbd         [kernel.kallsyms]                                 [k] available_idle_cpu
     0.98%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] sock_def_readable
     0.98%     0.63%  mariadbd         [kernel.kallsyms]                                 [k] __audit_syscall_exit
     0.97%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] sock_alloc_send_pskb
     0.96%     0.01%  swapper          [kernel.kallsyms]                                 [k] __common_interrupt
     0.95%     0.06%  tclsh8.6         [kernel.kallsyms]                                 [k] alloc_skb_with_frags
     0.95%     0.02%  swapper          [kernel.kallsyms]                                 [k] handle_edge_irq
     0.93%     0.13%  tclsh8.6         [kernel.kallsyms]                                 [k] __schedule
     0.93%     0.20%  swapper          [kernel.kallsyms]                                 [k] pick_next_task_fair
     0.92%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] __blk_mq_try_issue_directly
     0.92%     0.06%  tclsh8.6         [kernel.kallsyms]                                 [k] pollwake
     0.91%     0.01%  swapper          [kernel.kallsyms]                                 [k] __softirqentry_text_start
     0.90%     0.03%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_idle_stop_tick
     0.89%     0.05%  tclsh8.6         [kernel.kallsyms]                                 [k] try_to_wake_up
     0.89%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] pagecache_get_page
     0.89%     0.06%  tclsh8.6         [kernel.kallsyms]                                 [k] __alloc_skb
     0.88%     0.01%  swapper          [kernel.kallsyms]                                 [k] handle_irq_event
     0.88%     0.10%  mariadbd         [kernel.kallsyms]                                 [k] nvme_queue_rq
     0.87%     0.00%  swapper          [kernel.kallsyms]                                 [k] tick_sched_handle
     0.87%     0.03%  swapper          [kernel.kallsyms]                                 [k] update_process_times
     0.87%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __submit_bio_noacct_mq
     0.85%     0.47%  swapper          [kernel.kallsyms]                                 [k] ktime_get
     0.84%     0.01%  swapper          [kernel.kallsyms]                                 [k] __handle_irq_event_percpu
     0.83%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_submit_bio
     0.83%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] find_busiest_group
     0.82%     0.01%  swapper          [kernel.kallsyms]                                 [k] nvme_irq
     0.82%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] bio_iov_iter_get_pages
     0.82%     0.06%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_idle_exit
     0.82%     0.06%  swapper          [kernel.kallsyms]                                 [k] nvme_process_cq
     0.81%     0.57%  mariadbd         [kernel.kallsyms]                                 [k] finish_task_switch.isra.0
     0.81%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __bio_iov_iter_get_pages
     0.81%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] wake_affine
     0.80%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] sysvec_call_function_single
     0.79%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] consume_skb
     0.79%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] update_sd_lb_stats.constprop.0
     0.79%     0.41%  mariadbd         [kernel.kallsyms]                                 [k] x86_pmu_disable_all
     0.78%     0.15%  mariadbd         [kernel.kallsyms]                                 [k] __find_get_block_slow
     0.77%     0.01%  swapper          [kernel.kallsyms]                                 [k] scheduler_tick
     0.76%     0.19%  mariadbd         [kernel.kallsyms]                                 [k] switch_fpu_return
     0.75%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] iomap_dio_bio_end_io
     0.75%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] __sysvec_call_function_single
     0.73%     0.56%  mariadbd         [kernel.kallsyms]                                 [k] update_sg_lb_stats
     0.72%     0.04%  swapper          [kernel.kallsyms]                                 [k] hrtimer_start_range_ns
     0.68%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] sched_ttwu_pending
     0.67%     0.01%  swapper          [kernel.kallsyms]                                 [k] perf_event_task_tick
     0.66%     0.08%  swapper          [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     0.63%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] __irq_exit_rcu
     0.62%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] kmem_cache_alloc_node
     0.62%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ext4_da_write_begin
     0.61%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_io_getevents
     0.61%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] consume_skb
     0.60%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] iov_iter_get_pages
     0.60%     0.10%  mariadbd         [kernel.kallsyms]                                 [k] task_tick_fair
     0.60%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] do_io_getevents
     0.60%     0.15%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_next_event
     0.59%     0.15%  mariadbd         [kernel.kallsyms]                                 [k] mapping_get_entry
     0.58%     0.58%  swapper          [kernel.kallsyms]                                 [k] get_typical_interval
     0.58%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] internal_get_user_pages_fast
     0.57%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] exit_to_user_mode_loop
