# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7164435269843
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     1.18%     0.00%  kswapd1          [kernel.kallsyms]         [k] kthread
     1.18%     0.00%  kswapd1          [kernel.kallsyms]         [k] ret_from_fork
     1.18%     0.00%  kswapd1          [kernel.kallsyms]         [k] kswapd
     1.18%     0.00%  kswapd1          [kernel.kallsyms]         [k] balance_pgdat
     1.18%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_node
     1.14%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add
     1.12%     0.00%  VM Thread        [kernel.kallsyms]         [k] __x64_sys_mmap
     1.12%     0.00%  VM Thread        [kernel.kallsyms]         [k] ksys_mmap_pgoff
     1.12%     0.00%  VM Thread        [kernel.kallsyms]         [k] vm_mmap_pgoff
     1.12%     0.00%  VM Thread        [kernel.kallsyms]         [k] do_mmap
     1.12%     0.00%  VM Thread        [kernel.kallsyms]         [k] mmap_region
     1.12%     0.00%  VM Thread        [kernel.kallsyms]         [k] __do_munmap
     1.12%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_region
     1.11%     1.10%  LocalJobRunner   [kernel.kallsyms]         [k] sync_regs
     1.11%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_vmas
     1.11%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_single_vma
     1.11%     0.19%  VM Thread        [kernel.kallsyms]         [k] unmap_page_range
     1.10%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_async_ra
     1.10%     1.09%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_css_rstat_flush
     1.09%     0.02%  java             [kernel.kallsyms]         [k] alloc_pages_vma
     1.09%     0.07%  java             [kernel.kallsyms]         [k] isolate_lru_page
     1.07%     0.01%  java             [kernel.kallsyms]         [k] alloc_misplaced_dst_page
     1.04%     0.01%  java             [kernel.kallsyms]         [k] migrate_page_copy
     1.04%     0.00%  java             [kernel.kallsyms]         [k] __put_page
     1.03%     0.00%  kswapd1          [kernel.kallsyms]         [k] shrink_lruvec
     1.02%     0.09%  kcompactd1       [kernel.kallsyms]         [k] compaction_alloc
     1.02%     1.02%  LocalJobRunner   libc.so.6                 [.] 0x00000000001b2eae
     1.02%     0.13%  java             [kernel.kallsyms]         [k] migrate_page_states
     1.01%     0.02%  java             [kernel.kallsyms]         [k] __hrtimer_run_queues
     1.00%     0.38%  LocalJobRunner   [kernel.kallsyms]         [k] __pagevec_lru_add
