# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.75%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] path_openat
     0.75%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] __blk_mq_try_issue_directly
     0.74%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_mark_iloc_dirty
     0.71%     0.32%  Executor task l  [kernel.kallsyms]                                 [k] __mod_lruvec_page_state
     0.71%     0.09%  Executor task l  [kernel.kallsyms]                                 [k] nvme_queue_rq
     0.71%     0.24%  Executor task l  [kernel.kallsyms]                                 [k] __pagevec_lru_add_fn
     0.70%     0.36%  Executor task l  [kernel.kallsyms]                                 [k] update_rq_clock_task
     0.67%     0.25%  Executor task l  [kernel.kallsyms]                                 [k] ext4_do_update_inode.isra.0
     0.67%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __submit_bio_noacct_mq
     0.66%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter
     0.66%     0.02%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter_state
     0.65%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_submit_bio
     0.64%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] worker_thread
     0.64%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] kthread
     0.64%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.64%     0.64%  Executor task l  [kernel.kallsyms]                                 [k] __list_del_entry_valid
     0.64%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] process_one_work
     0.61%     0.60%  Executor task l  [kernel.kallsyms]                                 [k] __update_load_avg_cfs_rq
     0.58%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] kcompactd
     0.58%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] kthread
