# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11311597024933
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.58%     0.00%  postgres         [kernel.kallsyms]  [k] mpage_end_io
     0.58%     0.00%  swapper          [kernel.kallsyms]  [k] asm_common_interrupt
     0.58%     0.01%  swapper          [kernel.kallsyms]  [k] common_interrupt
     0.58%     0.02%  postgres         [kernel.kallsyms]  [k] __read_end_io
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] do_writepages
     0.56%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_writepages
     0.55%     0.01%  swapper          [kernel.kallsyms]  [k] __common_interrupt
     0.55%     0.11%  postgres         [kernel.kallsyms]  [k] lru_cache_add
     0.55%     0.10%  postgres         [kernel.kallsyms]  [k] psi_task_change
     0.55%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_poll
     0.54%     0.01%  postgres         [kernel.kallsyms]  [k] wake_up_page_bit
     0.54%     0.01%  swapper          [kernel.kallsyms]  [k] handle_edge_irq
     0.54%     0.07%  tclsh8.6         [kernel.kallsyms]  [k] do_sys_poll
     0.53%     0.05%  postgres         [kernel.kallsyms]  [k] ext4_block_write_begin
     0.52%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_locked_key_bookmark
     0.52%     0.07%  postgres         [kernel.kallsyms]  [k] psi_task_switch
     0.52%     0.01%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.51%     0.00%  postgres         [kernel.kallsyms]  [k] wake_up_state
     0.51%     0.00%  swapper          [kernel.kallsyms]  [k] handle_irq_event
     0.51%     0.01%  postgres         [kernel.kallsyms]  [k] wake_page_function
     0.51%     0.07%  postgres         [kernel.kallsyms]  [k] newidle_balance
     0.50%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.50%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.50%     0.01%  swapper          [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.49%     0.00%  swapper          [kernel.kallsyms]  [k] nvme_irq
     0.49%     0.05%  postgres         [kernel.kallsyms]  [k] xas_find
     0.49%     0.02%  swapper          [kernel.kallsyms]  [k] nvme_process_cq
     0.48%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.47%     0.30%  swapper          [kernel.kallsyms]  [k] menu_select
     0.47%     0.02%  postgres         [kernel.kallsyms]  [k] hrtimer_interrupt
     0.47%     0.00%  swapper          [kernel.kallsyms]  [k] run_rebalance_domains
     0.47%     0.05%  postgres         [kernel.kallsyms]  [k] switch_fpu_return
     0.46%     0.00%  swapper          [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.46%     0.11%  postgres         [kernel.kallsyms]  [k] filemap_get_read_batch
     0.46%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] schedule
     0.45%     0.04%  swapper          [kernel.kallsyms]  [k] psi_task_switch
     0.45%     0.27%  postgres         [kernel.kallsyms]  [k] update_curr
     0.45%     0.44%  swapper          [kernel.kallsyms]  [k] psi_group_change
     0.45%     0.01%  swapper          [kernel.kallsyms]  [k] nvme_complete_rq
     0.45%     0.16%  postgres         [kernel.kallsyms]  [k] __pagevec_lru_add
     0.44%     0.44%  postgres         [kernel.kallsyms]  [k] try_grab_compound_head
     0.44%     0.02%  postgres         [kernel.kallsyms]  [k] submit_bio
     0.44%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common
     0.44%     0.00%  swapper          [kernel.kallsyms]  [k] blk_mq_end_request
     0.43%     0.06%  tclsh8.6         [kernel.kallsyms]  [k] __schedule
     0.43%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_fdatasync
     0.43%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.43%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.42%     0.00%  postgres         [kernel.kallsyms]  [k] task_work_run
     0.42%     0.41%  postgres         [kernel.kallsyms]  [k] __restore_fpregs_from_fpstate
     0.42%     0.01%  postgres         [kernel.kallsyms]  [k] submit_bio_noacct
     0.42%     0.02%  postgres         [kernel.kallsyms]  [k] sock_def_readable
     0.42%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.41%     0.01%  postgres         [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.41%     0.09%  swapper          [kernel.kallsyms]  [k] enqueue_task_fair
     0.41%     0.01%  postgres         [kernel.kallsyms]  [k] irqentry_exit
     0.41%     0.40%  postgres         [kernel.kallsyms]  [k] available_idle_cpu
     0.41%     0.04%  postgres         [kernel.kallsyms]  [k] do_epoll_wait
     0.40%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.40%     0.01%  postgres         [kernel.kallsyms]  [k] __submit_bio
     0.40%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.40%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.39%     0.05%  postgres         [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
     0.39%     0.01%  swapper          [kernel.kallsyms]  [k] blk_update_request
     0.38%     0.02%  postgres         [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.38%     0.13%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.37%     0.00%  swapper          [kernel.kallsyms]  [k] bio_endio
     0.37%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_timer
     0.36%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] sock_def_readable
     0.36%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] ep_poll_callback
     0.36%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.36%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.36%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] try_to_wake_up
     0.35%     0.00%  postgres         [kernel.kallsyms]  [k] default_wake_function
