# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3368333798041
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                             
# ........  ........  ...............  ..................................  ...................................................................................................................................................................................................................
#
     0.36%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.36%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] do_writepages
     0.36%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] ext4_writepages
     0.35%     0.02%  kswapd0          [kernel.kallsyms]                   [k] scan_pages
     0.35%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     0.35%     0.03%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.35%     0.35%  Executor task l  [kernel.kallsyms]                   [k] irq_work_tick
     0.35%     0.19%  Executor task l  [kernel.kallsyms]                   [k] start_this_handle
     0.34%     0.22%  Executor task l  [kernel.kallsyms]                   [k] try_charge_memcg
     0.33%     0.17%  Executor task l  [kernel.kallsyms]                   [k] balance_dirty_pages_ratelimited
     0.33%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate
     0.32%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_inode_csum_set
     0.32%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] rmap_walk_anon
     0.32%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate_one
     0.32%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_stop
     0.31%     0.03%  Executor task l  [kernel.kallsyms]                   [k] mark_buffer_dirty
     0.31%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ext4_map_blocks
     0.31%     0.03%  kswapd0          [kernel.kallsyms]                   [k] xas_store
     0.30%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ext4_get_inode_loc
     0.30%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] flush_tlb_mm_range
