# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3879925248322
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
     0.97%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __handle_irq_event_percpu
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_lruvec
     0.94%     0.12%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     0.94%     0.00%  Executor task l  [kernel.kallsyms]                    [k] nvme_irq
     0.94%     0.10%  Executor task l  [kernel.kallsyms]                    [k] nvme_process_cq
     0.91%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_inactive_list
     0.91%     0.11%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     0.91%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] kthread
     0.91%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] ret_from_fork
     0.91%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] worker_thread
     0.91%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] process_one_work
     0.90%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     0.87%     0.05%  kswapd0          [kernel.kallsyms]                    [k] __remove_mapping
     0.85%     0.40%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     0.83%     0.38%  Executor task l  [kernel.kallsyms]                    [k] kmem_cache_alloc
     0.82%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] asm_exc_page_fault
     0.82%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] exc_page_fault
     0.82%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] do_user_addr_fault
     0.81%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] handle_mm_fault
     0.80%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] __handle_mm_fault
