# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11391823713556
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     1.12%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] __alloc_pages
     1.11%     1.09%  pool-4-thread-1  [kernel.kallsyms]   [k] mem_cgroup_css_rstat_flush
     1.11%     0.12%  java             [kernel.kallsyms]   [k] get_page_from_freelist
     1.10%     0.30%  java             [kernel.kallsyms]   [k] _raw_spin_lock
     1.09%     1.09%  java             [kernel.kallsyms]   [k] sync_regs
     1.09%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     1.08%     0.01%  java             [kernel.kallsyms]   [k] move_to_new_page
     1.08%     0.40%  LocalJobRunner   [kernel.kallsyms]   [k] charge_memcg
     1.07%     0.11%  kswapd1          [kernel.kallsyms]   [k] shrink_page_list
     1.07%     0.00%  java             [kernel.kallsyms]   [k] migrate_page
     1.04%     0.13%  localfetcher#1   [kernel.kallsyms]   [k] get_page_from_freelist
     1.04%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     1.04%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] do_syscall_64
     1.03%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     1.03%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     1.03%     0.00%  kswapd0          [kernel.kallsyms]   [k] kswapd
     1.03%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     1.03%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     1.02%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] migrate_misplaced_page
     1.01%     0.00%  java             [kernel.kallsyms]   [k] rmap_walk
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] __x64_sys_read
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] ksys_read
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] vfs_read
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] new_sync_read
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] ext4_file_read_iter
     1.00%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] generic_file_read_iter
     1.00%     0.02%  Sampler Reader   [kernel.kallsyms]   [k] filemap_read
     0.97%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     0.96%     0.02%  java             [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.96%     0.03%  LocalJobRunner   [kernel.kallsyms]   [k] __mark_inode_dirty
     0.94%     0.01%  java             [kernel.kallsyms]   [k] alloc_pages_vma
     0.94%     0.02%  java             [kernel.kallsyms]   [k] do_syscall_64
     0.93%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_dirty_inode
     0.92%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] alloc_pages
     0.92%     0.02%  java             [kernel.kallsyms]   [k] find_vma
     0.91%     0.07%  java             [kernel.kallsyms]   [k] rmap_walk_anon
     0.91%     0.90%  java             [kernel.kallsyms]   [k] vmacache_find
     0.90%     0.61%  LocalJobRunner   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.90%     0.12%  LocalJobRunner   [kernel.kallsyms]   [k] migrate_pages
     0.88%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.87%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
     0.87%     0.67%  Sampler Reader   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.86%     0.58%  pool-4-thread-1  [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.85%     0.00%  java             [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.84%     0.00%  java             [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.83%     0.82%  java             [kernel.kallsyms]   [k] clear_page_erms
     0.82%     0.48%  localfetcher#1   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.82%     0.06%  InMemoryMerger   [kernel.kallsyms]   [k] add_to_page_cache_lru
     0.82%     0.81%  LocalJobRunner   [kernel.kallsyms]   [k] sync_regs
     0.81%     0.81%  LocalJobRunner   libc.so.6           [.] 0x00000000001b2eae
     0.79%     0.06%  localfetcher#1   [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.78%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_end
     0.78%     0.34%  java             [kernel.kallsyms]   [k] __count_memcg_events
     0.77%     0.54%  java             [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.76%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_write_end
     0.73%     0.73%  localfetcher#1   [kernel.kallsyms]   [k] clear_page_erms
     0.70%     0.00%  VM Thread        [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.70%     0.00%  VM Thread        [kernel.kallsyms]   [k] do_syscall_64
     0.69%     0.07%  kswapd0          [kernel.kallsyms]   [k] shrink_page_list
     0.68%     0.01%  java             [kernel.kallsyms]   [k] __x64_sys_sched_yield
     0.67%     0.67%  java             [kernel.kallsyms]   [k] copy_page
     0.67%     0.47%  InMemoryMerger   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.65%     0.02%  java             [kernel.kallsyms]   [k] do_sched_yield
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] __x64_sys_mmap
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] vm_mmap_pgoff
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] ksys_mmap_pgoff
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] do_mmap
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] mmap_region
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] __do_munmap
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] unmap_region
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] unmap_single_vma
     0.63%     0.00%  VM Thread        [kernel.kallsyms]   [k] unmap_vmas
     0.62%     0.11%  VM Thread        [kernel.kallsyms]   [k] unmap_page_range
     0.60%     0.17%  localfetcher#1   [kernel.kallsyms]   [k] charge_memcg
     0.60%     0.00%  java             [kernel.kallsyms]   [k] try_to_migrate
     0.60%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages
     0.59%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __page_cache_alloc
     0.59%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] worker_thread
     0.59%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] kthread
     0.59%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ret_from_fork
     0.59%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.59%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] process_one_work
     0.59%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_end_io_rsv_work
     0.58%     0.05%  LocalJobRunner   [kernel.kallsyms]   [k] lru_cache_add
     0.58%     0.00%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_release_io_end
     0.58%     0.10%  kworker/u96:1-e  [kernel.kallsyms]   [k] ext4_finish_bio
