# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 185956807552
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................................................................
#
     1.33%     0.02%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.32%     0.01%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.31%     0.14%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.29%     0.15%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.28%     0.10%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.26%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.26%     0.01%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.26%     0.15%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.25%     0.08%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.25%     0.03%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.24%     0.00%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.23%     0.01%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.23%     1.21%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.22%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait
     1.21%     0.06%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     1.20%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.20%     0.16%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.20%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.19%     0.01%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.19%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.18%     0.18%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.17%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.16%     0.02%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.16%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait_setup
     1.15%     0.07%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     1.12%     0.00%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.10%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.09%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.08%     0.78%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     1.06%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.05%     0.04%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.04%     0.11%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     1.04%     0.41%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.04%     0.23%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.03%     0.02%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.03%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.03%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     1.00%     0.03%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     1.00%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     1.00%     0.01%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     0.99%     0.07%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     0.99%     0.89%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.98%     0.35%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     0.98%     0.24%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     0.97%     0.04%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     0.97%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     0.97%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     0.97%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     0.97%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     0.97%     0.00%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.96%     0.13%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.96%     0.04%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.96%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.95%     0.13%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.95%     0.04%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     0.95%     0.15%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.94%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     0.94%     0.22%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     0.94%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     0.94%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     0.93%     0.02%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.93%     0.00%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     0.93%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     0.91%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.90%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     0.90%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.86%     0.00%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
