# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 615K of event 'cycles'
# Event count (approx.): 8738153727476
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.27%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     2.22%     0.08%  LocalJobRunner   [kernel.kallsyms]   [k] add_to_page_cache_lru
     2.22%     0.02%  localfetcher#1   [kernel.kallsyms]   [k] do_user_addr_fault
     2.14%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] handle_mm_fault
     2.03%     2.01%  pool-4-thread-1  [kernel.kallsyms]   [k] mem_cgroup_css_rstat_flush
     1.98%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_get_pages
     1.95%     0.14%  localfetcher#1   [kernel.kallsyms]   [k] __handle_mm_fault
     1.90%     0.06%  localfetcher#1   [kernel.kallsyms]   [k] __alloc_pages
     1.88%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ondemand_readahead
     1.88%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] page_cache_ra_unbounded
     1.77%     0.02%  java             [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     1.76%     0.18%  localfetcher#1   [kernel.kallsyms]   [k] get_page_from_freelist
     1.75%     0.02%  java             [kernel.kallsyms]   [k] do_syscall_64
     1.71%     0.15%  kswapd1          [kernel.kallsyms]   [k] shrink_page_list
     1.68%     1.67%  java             [kernel.kallsyms]   [k] up_read
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] kswapd
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] kthread
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] ret_from_fork
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] balance_pgdat
     1.66%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] page_cache_async_ra
     1.66%     0.00%  kswapd0          [kernel.kallsyms]   [k] shrink_node
     1.63%     1.11%  pool-4-thread-1  [kernel.kallsyms]   [k] __add_to_page_cache_locked
     1.59%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     1.50%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_begin
     1.50%     0.01%  kswapd0          [kernel.kallsyms]   [k] shrink_lruvec
     1.49%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] workingset_refault
     1.40%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] mem_cgroup_flush_stats
     1.37%     1.36%  java             [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     1.37%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_da_write_begin
     1.31%     1.30%  localfetcher#1   [kernel.kallsyms]   [k] clear_page_erms
     1.30%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_end
     1.30%     0.20%  LocalJobRunner   [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     1.27%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_write_end
     1.25%     0.30%  java             [kernel.kallsyms]   [k] _raw_spin_lock
     1.25%     0.71%  java             [kernel.kallsyms]   [k] cgroup_rstat_updated
     1.21%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_exc_page_fault
     1.21%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] pagecache_get_page
     1.20%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     1.18%     1.17%  pool-4-thread-1  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     1.15%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages
     1.14%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __page_cache_alloc
     1.11%     0.00%  java             [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     1.10%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] pagecache_get_page
     1.09%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     1.09%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] exc_page_fault
     1.09%     0.00%  java             [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     1.08%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     1.08%     0.08%  java             [kernel.kallsyms]   [k] exit_to_user_mode_prepare
