# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 596434766724
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                      
# ........  ........  ...............  .......................  ............................................................................................................................................
#
     1.00%     0.02%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     0.98%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sys_recvfrom
     0.98%     0.20%  mariadbd         [kernel.kallsyms]        [k] select_idle_cpu
     0.97%     0.02%  mariadbd         [kernel.kallsyms]        [k] pagecache_get_page
     0.96%     0.26%  mariadbd         [kernel.kallsyms]        [k] futex_wait_setup
     0.96%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pwrite64
     0.96%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_buffered_write_iter
     0.96%     0.00%  mariadbd         [kernel.kallsyms]        [k] new_sync_write
     0.96%     0.00%  mariadbd         [kernel.kallsyms]        [k] vfs_write
     0.96%     0.00%  swapper          [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.95%     0.00%  swapper          [kernel.kallsyms]        [k] __run_hrtimer
     0.94%     0.04%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_disable_all
     0.94%     0.25%  mariadbd         [kernel.kallsyms]        [k] enqueue_entity
     0.94%     0.01%  swapper          [kernel.kallsyms]        [k] tick_sched_timer
     0.93%     0.05%  swapper          [kernel.kallsyms]        [k] tick_nohz_get_sleep_length
     0.92%     0.74%  mariadbd         [kernel.kallsyms]        [k] update_sg_lb_stats
     0.92%     0.11%  mariadbd         [kernel.kallsyms]        [k] nvme_queue_rq
     0.92%     0.00%  mariadbd         [kernel.kallsyms]        [k] generic_perform_write
     0.92%     0.45%  swapper          [kernel.kallsyms]        [k] update_load_avg
     0.92%     0.27%  mariadbd         [kernel.kallsyms]        [k] ttwu_queue_wakelist
     0.91%     0.73%  mariadbd         [kernel.kallsyms]        [k] xas_load
     0.88%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_write_checks
     0.88%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] schedule
     0.86%     0.01%  mariadbd         [kernel.kallsyms]        [k] unix_stream_recvmsg
     0.85%     0.07%  mariadbd         [kernel.kallsyms]        [k] unix_stream_read_generic
     0.85%     0.01%  swapper          [kernel.kallsyms]        [k] blk_mq_end_request
     0.85%     0.02%  mariadbd         [kernel.kallsyms]        [k] ext4_iomap_begin
     0.84%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     0.84%     0.01%  mariadbd         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.83%     0.12%  tclsh8.6         [kernel.kallsyms]        [k] __schedule
     0.83%     0.46%  mariadbd         [kernel.kallsyms]        [k] __audit_syscall_exit
     0.83%     0.15%  mariadbd         [kernel.kallsyms]        [k] __irq_exit_rcu
     0.82%     0.82%  mariadbd         [kernel.kallsyms]        [k] available_idle_cpu
     0.81%     0.03%  mariadbd         [kernel.kallsyms]        [k] alloc_skb_with_frags
