# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7237253268086
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.87%     0.00%  java             [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.84%     0.00%  kswapd0          [kernel.kallsyms]  [k] __walk_page_range
     0.84%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_inc_max_seq
     0.84%     0.00%  kswapd0          [kernel.kallsyms]  [k] walk_page_range
     0.84%     0.02%  java             [kernel.kallsyms]  [k] migrate_page_copy
     0.83%     0.01%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
     0.82%     0.82%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.81%     0.00%  java             [kernel.kallsyms]  [k] __put_page
     0.81%     0.00%  java             [kernel.kallsyms]  [k] task_work_run
     0.81%     0.00%  java             [kernel.kallsyms]  [k] task_numa_work
     0.81%     0.10%  java             [kernel.kallsyms]  [k] migrate_page_states
     0.81%     0.00%  java             [kernel.kallsyms]  [k] change_prot_numa
     0.81%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.80%     0.65%  kswapd0          [kernel.kallsyms]  [k] walk_pud_range
     0.80%     0.04%  java             [kernel.kallsyms]  [k] find_vma
     0.79%     0.00%  java             [kernel.kallsyms]  [k] tick_sched_timer
     0.78%     0.76%  java             [kernel.kallsyms]  [k] vmacache_find
     0.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.77%     0.01%  java             [kernel.kallsyms]  [k] sysvec_call_function
     0.76%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __page_cache_alloc
     0.76%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.76%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] try_to_free_pages
     0.76%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] shrink_node
     0.76%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] do_try_to_free_pages
     0.75%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_futex
     0.75%     0.01%  VM Thread        [kernel.kallsyms]  [k] exc_page_fault
     0.74%     0.01%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.74%     0.06%  java             [kernel.kallsyms]  [k] update_process_times
     0.74%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] move_to_new_page
     0.73%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_futex
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_sync_ra
     0.73%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_page
     0.72%     0.67%  java             [kernel.kallsyms]  [k] change_protection
     0.72%     0.00%  java             [kernel.kallsyms]  [k] tick_sched_handle
     0.72%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] shrink_lruvec
     0.72%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.71%     0.11%  java             [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.70%     0.19%  LocalJobRunner   [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.70%     0.02%  VM Thread        [kernel.kallsyms]  [k] do_user_addr_fault
     0.69%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] evict_pages
     0.69%     0.03%  java             [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.69%     0.54%  LocalJobRunner   [kernel.kallsyms]  [k] try_charge_memcg
     0.69%     0.00%  java             [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.69%     0.01%  java             [kernel.kallsyms]  [k] __sysvec_call_function
     0.68%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] exc_page_fault
     0.67%     0.59%  LocalJobRunner   [kernel.kallsyms]  [k] rmqueue_bulk
     0.66%     0.03%  VM Thread        [kernel.kallsyms]  [k] handle_mm_fault
     0.65%     0.52%  java             [kernel.kallsyms]  [k] __count_memcg_events
     0.64%     0.01%  java             [kernel.kallsyms]  [k] do_swap_page
     0.64%     0.64%  java             libc.so.6          [.] 0x00000000001b2383
     0.63%     0.48%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.63%     0.09%  java             [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.62%     0.58%  java             [kernel.kallsyms]  [k] page_vma_mapped_walk
