# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8072375585332
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.96%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     0.96%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     0.96%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     0.96%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     0.96%     0.01%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.95%     0.04%  java             [kernel.kallsyms]  [k] find_vma
     0.95%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     0.95%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     0.95%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     0.95%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     0.95%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     0.95%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] do_futex
     0.94%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     0.93%     0.91%  java             [kernel.kallsyms]  [k] vmacache_find
     0.91%     0.69%  java             [kernel.kallsyms]  [k] __count_memcg_events
     0.90%     0.05%  java             [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.87%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] move_to_new_page
     0.86%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_page
     0.86%     0.05%  java             [kernel.kallsyms]  [k] isolate_lru_page
     0.85%     0.02%  java             [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.84%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.84%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.83%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     0.82%     0.66%  LocalJobRunner   [kernel.kallsyms]  [k] try_charge_memcg
     0.81%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_block_write_begin
     0.79%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     0.78%     0.72%  java             [kernel.kallsyms]  [k] page_counter_charge
     0.78%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     0.77%     0.01%  java             [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.76%     0.64%  LocalJobRunner   [kernel.kallsyms]  [k] rmqueue_bulk
     0.76%     0.01%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     0.75%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.75%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     0.75%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     0.75%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     0.75%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     0.74%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     0.74%     0.63%  LocalJobRunner   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.73%     0.00%  VM Thread        [kernel.kallsyms]  [k] tlb_flush_mmu
     0.72%     0.54%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.72%     0.69%  java             [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.71%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.71%     0.01%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     0.71%     0.05%  java             [kernel.kallsyms]  [k] uncharge_batch
     0.70%     0.00%  java             [kernel.kallsyms]  [k] tick_sched_timer
     0.70%     0.00%  java             [kernel.kallsyms]  [k] task_work_run
     0.70%     0.00%  java             [kernel.kallsyms]  [k] task_numa_work
     0.70%     0.00%  java             [kernel.kallsyms]  [k] change_prot_numa
     0.70%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.68%     0.01%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
     0.68%     0.68%  java             libc.so.6          [.] 0x00000000001b2383
     0.67%     0.32%  java             [kernel.kallsyms]  [k] numa_migrate_prep
     0.66%     0.00%  VM Thread        [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.65%     0.05%  java             [kernel.kallsyms]  [k] update_process_times
     0.65%     0.11%  VM Thread        [kernel.kallsyms]  [k] release_pages
     0.64%     0.00%  java             [kernel.kallsyms]  [k] tick_sched_handle
     0.64%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] exc_page_fault
     0.64%     0.63%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.63%     0.59%  java             [kernel.kallsyms]  [k] change_protection
     0.63%     0.00%  java             [kernel.kallsyms]  [k] page_counter_uncharge
     0.63%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] do_user_addr_fault
     0.63%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] exc_page_fault
     0.61%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] filemap_get_pages
     0.61%     0.03%  java             [kernel.kallsyms]  [k] lock_page_lruvec_irq
     0.61%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.60%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] handle_mm_fault
     0.60%     0.55%  java             [kernel.kallsyms]  [k] page_counter_cancel
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] kthread
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] ret_from_fork
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] worker_thread
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] process_one_work
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] wb_workfn
     0.60%     0.01%  VM Thread        [kernel.kallsyms]  [k] exc_page_fault
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] wb_writeback
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] __writeback_single_inode
     0.60%     0.00%  kworker/u98:2-e  [kernel.kallsyms]  [k] do_writepages
     0.59%     0.06%  kworker/u98:2-e  [kernel.kallsyms]  [k] ext4_writepages
     0.59%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ondemand_readahead
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.58%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] page_cache_ra_unbounded
