# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 4927039491892
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.40%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_statx
     0.40%     0.35%  postgres         [kernel.kallsyms]  [k] security_file_permission
     0.40%     0.03%  postgres         [kernel.kallsyms]  [k] page_referenced_one
     0.40%     0.00%  postgres         [kernel.kallsyms]  [k] asm_common_interrupt
     0.39%     0.36%  postgres         [kernel.kallsyms]  [k] vm_normal_page
     0.39%     0.00%  postgres         [kernel.kallsyms]  [k] common_interrupt
     0.39%     0.33%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     0.39%     0.02%  postgres         [kernel.kallsyms]  [k] __wake_up_common
     0.39%     0.01%  kswapd0          [kernel.kallsyms]  [k] walk_pud_range
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] __walk_page_range
     0.38%     0.00%  postgres         [kernel.kallsyms]  [k] __common_interrupt
     0.38%     0.02%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.38%     0.07%  postgres         [kernel.kallsyms]  [k] psi_task_change
     0.38%     0.00%  postgres         [kernel.kallsyms]  [k] task_work_run
     0.37%     0.01%  postgres         [kernel.kallsyms]  [k] handle_edge_irq
     0.37%     0.36%  kswapd0          [kernel.kallsyms]  [k] get_next_vma
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] rmap_walk_anon
     0.36%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] handle_irq_event
     0.36%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     0.35%     0.35%  postgres         [unknown]          [.] 0000000000000000
     0.35%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.35%     0.04%  postgres         [kernel.kallsyms]  [k] switch_fpu_return
     0.35%     0.02%  postgres         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.35%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_irq
     0.35%     0.00%  postgres         [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_sendto
     0.35%     0.01%  postgres         [kernel.kallsyms]  [k] nvme_process_cq
     0.34%     0.03%  swapper          [kernel.kallsyms]  [k] sched_ttwu_pending
     0.34%     0.01%  postgres         [kernel.kallsyms]  [k] hrtimer_interrupt
     0.34%     0.32%  postgres         [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.34%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_sendmsg
     0.34%     0.29%  postgres         [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.34%     0.01%  postgres         [kernel.kallsyms]  [k] lookup_fast
     0.33%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.33%     0.01%  postgres         [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.33%     0.32%  postgres         [kernel.kallsyms]  [k] __d_lookup_rcu
     0.32%     0.31%  postgres         [kernel.kallsyms]  [k] xas_load
     0.32%     0.31%  postgres         [kernel.kallsyms]  [k] __restore_fpregs_from_fpstate
     0.31%     0.00%  swapper          [kernel.kallsyms]  [k] ttwu_do_activate
     0.31%     0.24%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.31%     0.19%  postgres         [kernel.kallsyms]  [k] update_curr
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.31%     0.30%  postgres         [kernel.kallsyms]  [k] down_read_trylock
     0.31%     0.02%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     0.30%     0.02%  swapper          [kernel.kallsyms]  [k] enqueue_task
     0.30%     0.00%  postgres         [kernel.kallsyms]  [k] getname_flags.part.0
     0.30%     0.01%  postgres         [kernel.kallsyms]  [k] nvme_complete_rq
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_end_request
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] user_path_at_empty
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_sync_file
     0.29%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] consume_skb
     0.29%     0.29%  kcompactd1       [kernel.kallsyms]  [k] _raw_spin_lock
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_fdatasync
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.28%     0.23%  postgres         [kernel.kallsyms]  [k] remove_migration_pte
     0.28%     0.01%  postgres         [kernel.kallsyms]  [k] getname
     0.28%     0.00%  postgres         [kernel.kallsyms]  [k] file_write_and_wait_range
     0.28%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_timer
     0.28%     0.00%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     0.27%     0.04%  postgres         [kernel.kallsyms]  [k] pick_next_task_fair
     0.27%     0.24%  postgres         [kernel.kallsyms]  [k] __check_object_size
     0.26%     0.02%  postgres         [kernel.kallsyms]  [k] update_process_times
     0.26%     0.01%  postgres         [kernel.kallsyms]  [k] blk_update_request
     0.26%     0.01%  postgres         [kernel.kallsyms]  [k] strncpy_from_user
     0.26%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_handle
     0.26%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit
     0.26%     0.00%  postgres         [kernel.kallsyms]  [k] do_writepages
     0.26%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
     0.25%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_writepages
     0.25%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.25%     0.00%  postgres         [kernel.kallsyms]  [k] filename_lookup
     0.25%     0.24%  postgres         [kernel.kallsyms]  [k] clear_page_erms
     0.25%     0.00%  postgres         [kernel.kallsyms]  [k] path_lookupat
     0.25%     0.24%  postgres         [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.25%     0.24%  postgres         [kernel.kallsyms]  [k] available_idle_cpu
     0.24%     0.00%  postgres         [kernel.kallsyms]  [k] bio_endio
     0.24%     0.01%  postgres         [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.24%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.24%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.24%     0.01%  postgres         [kernel.kallsyms]  [k] sock_def_readable
     0.24%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common
     0.23%     0.02%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.23%     0.00%  postgres         [kernel.kallsyms]  [k] walk_component
     0.23%     0.02%  kcompactd1       [kernel.kallsyms]  [k] ptep_clear_flush
     0.23%     0.04%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.23%     0.01%  postgres         [kernel.kallsyms]  [k] wait_on_page_bit_common
     0.23%     0.03%  swapper          [kernel.kallsyms]  [k] psi_task_switch
     0.23%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.23%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.23%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.23%     0.22%  swapper          [kernel.kallsyms]  [k] psi_group_change
     0.22%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] skb_release_head_state
     0.22%     0.01%  postgres         [kernel.kallsyms]  [k] task_numa_work
