# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles'
# Event count (approx.): 4209789632036
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.24%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.24%     0.07%  postgres         [kernel.kallsyms]  [k] filemap_get_read_batch
     0.24%     0.12%  postgres         [kernel.kallsyms]  [k] kmem_cache_alloc
     0.24%     0.03%  postgres         [kernel.kallsyms]  [k] pick_next_task_fair
     0.23%     0.09%  postgres         [kernel.kallsyms]  [k] ext4_ext_map_blocks
     0.23%     0.06%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     0.23%     0.00%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.23%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_write
     0.23%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_write
     0.23%     0.22%  postgres         [kernel.kallsyms]  [k] __restore_fpregs_from_fpstate
     0.23%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.23%     0.07%  postgres         [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.22%     0.00%  postgres         [kernel.kallsyms]  [k] sock_alloc_send_pskb
     0.22%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.22%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] schedule
     0.22%     0.01%  postgres         [kernel.kallsyms]  [k] task_numa_work
     0.22%     0.11%  postgres         [kernel.kallsyms]  [k] rmqueue_bulk
     0.22%     0.06%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.21%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.21%     0.01%  postgres         [kernel.kallsyms]  [k] __alloc_skb
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_skb_with_frags
     0.21%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] __schedule
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] inet_sendmsg
     0.21%     0.15%  postgres         [kernel.kallsyms]  [k] PageHuge
     0.21%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_recvfrom
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] udp_sendmsg
     0.20%     0.01%  postgres         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.20%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_recvmsg
     0.20%     0.18%  postgres         [kernel.kallsyms]  [k] ext4_es_lookup_extent
     0.20%     0.00%  swapper          [kernel.kallsyms]  [k] run_rebalance_domains
     0.20%     0.01%  postgres         [kernel.kallsyms]  [k] do_epoll_wait
     0.20%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_recvmsg
     0.19%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common
     0.19%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_read_generic
     0.19%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.19%     0.00%  postgres         [kernel.kallsyms]  [k] user_path_at_empty
     0.19%     0.19%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock
     0.19%     0.00%  postgres         [kernel.kallsyms]  [k] mpage_submit_page
     0.19%     0.00%  postgres         [kernel.kallsyms]  [k] change_prot_numa
     0.18%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_empty_file
     0.18%     0.17%  postgres         [kernel.kallsyms]  [k] change_protection
     0.18%     0.18%  postgres         [kernel.kallsyms]  [k] page_mapping
     0.18%     0.03%  postgres         [kernel.kallsyms]  [k] __alloc_file
     0.18%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.18%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.18%     0.00%  postgres         [kernel.kallsyms]  [k] __page_cache_alloc
     0.18%     0.12%  swapper          [kernel.kallsyms]  [k] menu_select
     0.17%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.17%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_def_readable
     0.17%     0.05%  postgres         [kernel.kallsyms]  [k] __pagevec_lru_add
     0.17%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] ep_poll_callback
     0.17%     0.12%  swapper          [kernel.kallsyms]  [k] update_blocked_averages
     0.17%     0.03%  swapper          [kernel.kallsyms]  [k] enqueue_task_fair
     0.16%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] try_to_wake_up
     0.16%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] consume_skb
     0.16%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.16%     0.00%  postgres         [kernel.kallsyms]  [k] __sys_recvfrom
     0.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] ext4_releasepage
     0.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_release_page
     0.16%     0.00%  postgres         [kernel.kallsyms]  [k] filename_lookup
     0.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] jbd2_journal_try_to_free_buffers
     0.15%     0.00%  postgres         [kernel.kallsyms]  [k] path_lookupat
     0.15%     0.14%  postgres         [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.15%     0.02%  postgres         [kernel.kallsyms]  [k] unlock_page
     0.15%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.15%     0.00%  postgres         [kernel.kallsyms]  [k] ip_make_skb
     0.15%     0.00%  kswapd0          [kernel.kallsyms]  [k] __remove_mapping
     0.15%     0.02%  postgres         [kernel.kallsyms]  [k] newidle_balance
     0.15%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.15%     0.14%  postgres         [kernel.kallsyms]  [k] _find_next_bit
     0.15%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up
     0.15%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_pages
     0.14%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] default_wake_function
     0.14%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] autoremove_wake_function
     0.14%     0.01%  postgres         [kernel.kallsyms]  [k] lru_cache_add
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] __read_end_io
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] mpage_end_io
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] sock_recvmsg
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_call_function_single
