# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7834463989521
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.55%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.55%     0.15%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] __x64_sys_mmap
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] ksys_mmap_pgoff
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] mmap_region
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_mmap
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] vm_mmap_pgoff
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] __do_munmap
     0.54%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_region
     0.53%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] handle_mm_fault
     0.53%     0.01%  java             [kernel.kallsyms]     [k] asm_sysvec_call_function
     0.53%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_single_vma
     0.53%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_vmas
     0.53%     0.08%  VM Thread        [kernel.kallsyms]     [k] unmap_page_range
     0.53%     0.01%  java             [kernel.kallsyms]     [k] flush_tlb_mm_range
     0.52%     0.01%  java             [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.51%     0.45%  LocalJobRunner   [kernel.kallsyms]     [k] get_mem_cgroup_from_mm
     0.51%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     0.51%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     0.51%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     0.51%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     0.51%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     0.51%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] futex_wait_queue_me
     0.51%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] try_to_wake_up
     0.51%     0.09%  java             [kernel.kallsyms]     [k] pick_next_task_fair
     0.50%     0.37%  LocalJobRunner   [kernel.kallsyms]     [k] try_charge_memcg
     0.50%     0.40%  LocalJobRunner   [kernel.kallsyms]     [k] rmqueue_bulk
     0.50%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.50%     0.04%  Sampler Reader   [kernel.kallsyms]     [k] __handle_mm_fault
     0.49%     0.00%  java             [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.49%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     0.49%     0.11%  VM Thread        [kernel.kallsyms]     [k] __handle_mm_fault
     0.48%     0.45%  LocalJobRunner   [kernel.kallsyms]     [k] copy_page_to_iter
     0.48%     0.00%  VM Thread        [kernel.kallsyms]     [k] __x64_sys_sched_yield
     0.47%     0.19%  java             [kernel.kallsyms]     [k] update_curr
     0.47%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     0.47%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] wake_up_q
     0.47%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.47%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     0.46%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     0.45%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.45%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] kthread
     0.45%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.45%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] process_one_work
     0.45%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] worker_thread
     0.45%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] wb_workfn
     0.45%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] wb_writeback
     0.45%     0.02%  VM Thread        [kernel.kallsyms]     [k] do_sched_yield
     0.44%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.44%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.44%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] __writeback_single_inode
     0.44%     0.00%  kworker/u98:0-e  [kernel.kallsyms]     [k] do_writepages
     0.44%     0.05%  kworker/u98:0-e  [kernel.kallsyms]     [k] ext4_writepages
     0.44%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] create_empty_buffers
     0.44%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_mark_iloc_dirty
     0.43%     0.04%  java             [kernel.kallsyms]     [k] lru_cache_add
     0.43%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] scheduler_tick
     0.43%     0.31%  java             [kernel.kallsyms]     [k] error_entry
     0.43%     0.17%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.42%     0.05%  java             [kernel.kallsyms]     [k] task_tick_fair
     0.42%     0.06%  java             [kernel.kallsyms]     [k] yield_task_fair
     0.42%     0.00%  java             [kernel.kallsyms]     [k] sysvec_call_function
     0.41%     0.00%  java             [kernel.kallsyms]     [k] generic_smp_call_function_single_interrupt
     0.41%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] __mod_lruvec_state
     0.41%     0.26%  java             [kernel.kallsyms]     [k] mpol_misplaced
     0.41%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] mark_buffer_dirty
     0.41%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.40%     0.40%  LocalJobRunner   [kernel.kallsyms]     [k] __get_user_nocheck_1
     0.40%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] kmem_cache_alloc
     0.40%     0.28%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock
     0.39%     0.05%  java             [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.39%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_page_buffers
     0.39%     0.02%  java             [kernel.kallsyms]     [k] __mod_lruvec_state
     0.39%     0.04%  java             [kernel.kallsyms]     [k] switch_fpu_return
     0.39%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] jbd2__journal_start
     0.39%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_call_function
     0.38%     0.15%  java             [kernel.kallsyms]     [k] __pagevec_lru_add
     0.38%     0.38%  LocalJobRunner   [kernel.kallsyms]     [k] down_read_trylock
     0.38%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_buffer_head
     0.38%     0.38%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     0.38%     0.27%  java             [kernel.kallsyms]     [k] smp_call_function_many_cond
     0.38%     0.11%  java             [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.38%     0.03%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     0.37%     0.19%  java             [kernel.kallsyms]     [k] update_load_avg
     0.37%     0.37%  localfetcher#1   [kernel.kallsyms]     [k] clear_page_erms
     0.37%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_sync_ra
     0.37%     0.23%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.36%     0.00%  VM Thread        [kernel.kallsyms]     [k] tlb_flush_mmu
     0.36%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_get_block_prep
     0.36%     0.36%  LocalJobRunner   [kernel.kallsyms]     [k] copy_page
     0.36%     0.21%  LocalJobRunner   [kernel.kallsyms]     [k] __cond_resched
     0.36%     0.35%  java             [kernel.kallsyms]     [k] __restore_fpregs_from_fpstate
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]     [k] kthread
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]     [k] worker_thread
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]     [k] process_one_work
     0.35%     0.07%  java             [kernel.kallsyms]     [k] free_unref_page
